what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1323499725031
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1323499725062
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1323499725125
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1323499725203
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1323499725234
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1323499725250
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1323499725281
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1323499725312
started,bundle,com.mbartl.eclipse.viplugin.statusbar,1.0.5,"com.mbartl.eclipse.viplugin.statusbar",1323499725312
started,bundle,com.mbartl.viplugin.eclipse.layer,1.20.2,"com.mbartl.viplugin.eclipse.layer",1323499725375
os,sysinfo,,,"win32",1323499725390
arch,sysinfo,,,"x86",1323499725390
ws,sysinfo,,,"win32",1323499725390
locale,sysinfo,,,"zh_CN",1323499725390
processors,sysinfo,,,"4",1323499725390
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1323499725390
java.runtime.version,sysinfo,,,"1.5.0_11-b03",1323499725390
java.specification.name,sysinfo,,,"Java Platform API Specification",1323499725390
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323499725390
java.specification.version,sysinfo,,,"1.5",1323499725390
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1323499725390
java.version,sysinfo,,,"1.5.0_11",1323499725390
java.vm.info,sysinfo,,,"mixed mode",1323499725390
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1323499725390
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323499725390
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323499725390
java.vm.specification.version,sysinfo,,,"1.0",1323499725390
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1323499725390
java.vm.version,sysinfo,,,"1.5.0_11-b03",1323499725390
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1323499725390
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1323499725890
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1323499725937
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1323499726093
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1323499726140
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323499726265
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323499726265
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1323499726468
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1323499726562
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1323499727453
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1323499727578
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1323499727937
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1323499728031
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1323499728078
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1323499728140
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1323499728250
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1323499729093
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323499729484
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1323499729640
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1323499729796
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1323499730000
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1323499730265
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1323499730312
started,bundle,com.collabnet.subversion.merge,3.0.4,"com.collabnet.subversion.merge",1323499730875
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1323499731062
started,bundle,org.tigris.subversion.subclipse.ui,1.8.3,"org.tigris.subversion.subclipse.ui",1323499731296
started,bundle,org.tigris.subversion.subclipse.core,1.8.3,"org.tigris.subversion.subclipse.core",1323499731593
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1323499732546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499733203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499801531
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499815812
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499830750
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1323499830765
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1323499830765
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1323499831375
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.1.1,"org.tigris.subversion.clientadapter.javahl",1323499831593
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1323499845468
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1323499845515
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1323499846609
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1323499846703
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1323499847250
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1323499847250
started,bundle,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.ui",1323499847531
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1323499847718
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1323499848531
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1323499848687
started,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1323499848765
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323499848859
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323499849484
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1323499849578
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1323499849671
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1323499850156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499904750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499905671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499906359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499925421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499928968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499929812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499931500
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499934687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323499936125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500005343
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1323500010718
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1323500010953
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1323500011421
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1323500014171
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323500015671
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1323500019000
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323500019781
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323500030484
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323500038906
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1323500042031
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1323500043484
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1323500043500
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1323500043562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500048984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500078984
opened,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323500079171
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323500079187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1323500079187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1323500079187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500085609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500087234
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323500087234
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1323500090015
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323500091671
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323500091953
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323500092156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500096828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500101468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500102218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323500260203
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323500264078
error,log,,,"Error while loading editor",1323500271390
opened,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323500271406
activated,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323500271500
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1323500280468
