what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.commons.ui",1265721763053
started,bundle,org.eclipse.mylyn.context.core,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.core",1265721763053
started,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1265721763053
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.monitor.ui",1265721763053
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui",1265721763053
started,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1265721763053
os,sysinfo,,,"win32",1265721763073
arch,sysinfo,,,"x86",1265721763073
ws,sysinfo,,,"win32",1265721763073
locale,sysinfo,,,"zh_TW",1265721763073
processors,sysinfo,,,"1",1265721763073
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1265721763073
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1265721763073
java.specification.name,sysinfo,,,"Java Platform API Specification",1265721763073
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265721763073
java.specification.version,sysinfo,,,"1.6",1265721763073
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1265721763073
java.version,sysinfo,,,"1.6.0_17",1265721763073
java.vm.info,sysinfo,,,"mixed mode",1265721763073
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265721763073
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265721763073
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265721763073
java.vm.specification.version,sysinfo,,,"1.0",1265721763073
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1265721763073
java.vm.version,sysinfo,,,"14.3-b01",1265721763073
